district,top1,top1Perc,top2,top2Perc,top3,top3Perc,top4,top4Perc,top5,top5Perc,totalCount,სხვა,ძე,ია,ვა,ვი,ან,უა,კო,კი,ტი,დი,ზი,ოვ,ნა,ხი,სი,ბა,ევ,ჩი,დე,ის,ინ,ლო,გი,ვე,ერ,უკ,ბი,რე,იჩ,იკ,დუ,ოი,ლა,გა,კა,ნც,თი,და,აკ,არ,კე,ნე,იხ,სა,რა,ეც,ანი,ური,ელი,ღლი,ალი,უში,შვილი
ბოლნისი,ვი,35.2,ვა,32.6,შვილი,12.7,ძე,8.7,ანი,7.4,57974,273,5018,333,18877,20394,21,55,30,17,15,78,72,46,27,4,56,0,21,2,330,33,2,7,3,9,6,2,0,0,1,0,16,0,4,0,1,2,0,0,0,1,0,0,0,1,0,0,4310,88,420,11,17,1,7370
თელავი,შვილი,62,ძე,16,ვი,6.4,ვა,3.6,ური,2.8,57923,1022,9248,227,2074,3696,10,35,54,33,10,7,1166,9,22,40,8,0,4,14,0,3,3,0,1,0,3,3,26,0,1,0,3,1,0,0,5,0,2,1,1,3,0,0,2,4,0,0,884,1643,664,1054,35,0,35902
ზესტაფონი,ძე,76.9,შვილი,14,ელი,2,ანი,1.9,ია,1.5,57084,515,43881,833,633,179,12,78,70,43,107,19,35,11,26,81,51,41,2,5,1,0,3,3,0,0,6,3,2,0,2,8,0,2,0,38,2,1,0,1,4,2,0,0,0,0,1,0,1090,52,1137,0,85,12,8007
გურჯაანი,შვილი,82.9,ძე,11.4,ვი,1.6,ანი,0.9,ური,0.9,55357,144,6323,156,193,879,46,13,39,20,1,8,3,11,17,38,7,0,3,4,1,1,3,0,0,1,1,3,86,0,0,9,2,0,0,0,1,2,1,0,0,0,1,0,0,4,2,0,513,504,383,0,31,0,45903
წყალტუბო,ძე,60.2,შვილი,14.2,ანი,11.1,ია,5.8,ვა,5.2,53336,155,32110,3096,2759,186,24,411,110,43,21,11,1,29,32,150,25,21,9,2,7,6,8,4,2,157,5,6,3,15,2,5,2,0,2,2,1,3,0,1,1,2,1,1,4,0,0,1,5938,64,273,1,44,1,7579
მთაწმინდა,შვილი,33.9,ძე,31.9,ია,8.6,ანი,6.8,ვა,5.9,52143,896,16634,4498,3101,1715,237,626,155,272,152,95,27,53,80,82,44,36,11,27,35,17,24,5,26,5,21,9,20,4,11,12,5,5,7,4,4,14,2,6,2,6,14,4,4,1,3,4,3564,784,994,3,66,51,17666
ხაშური,ძე,56.2,შვილი,34.7,ელი,2.5,ვი,1.8,ანი,1.5,50345,419,28319,355,208,916,40,32,57,31,24,58,0,13,10,49,12,0,2,12,2,3,1,4,0,0,1,1,2,0,0,1,2,1,1,0,6,8,2,0,0,1,2,0,0,0,0,0,739,260,1274,2,3,4,17468
სამტრედია,ძე,50.2,შვილი,16.2,ია,12.5,უა,8,ვა,5.8,48387,295,24311,6060,2829,200,276,3876,76,166,41,16,0,59,36,31,31,4,17,10,29,2,21,3,2,2,4,15,3,2,5,7,1,2,3,2,2,7,1,1,3,1,10,0,2,0,4,2,1466,153,446,6,11,12,7823
კრწანისი,შვილი,27.1,ძე,21.4,ვი,16.5,ანი,11.8,ვა,8.5,47095,740,10078,2907,4005,7759,192,416,162,149,57,166,98,112,67,71,42,5,44,23,42,35,20,9,14,1,15,5,17,2,4,9,19,13,4,3,3,6,2,2,3,5,6,3,5,1,3,2,5575,679,602,51,46,22,12774
ხელვაჩაური,ძე,89.3,შვილი,3,ვა,1.7,ია,1.5,სხვა,1.3,47033,605,41979,729,818,89,8,60,36,17,60,74,6,1,20,16,6,374,1,4,26,1,2,25,2,0,2,2,0,0,0,0,0,0,1,1,1,1,7,4,0,1,0,1,0,0,0,0,363,21,134,120,0,6,1409
