index,lastNameEn,lastNameGe,count
446,khimshiashvili,ხიმშიაშვილი,1433
447,gegeshidze,გეგეშიძე,1433
448,katsitadze,კაციტაძე,1430
449,samushia,სამუშია,1429
450,nabievi,ნაბიევი,1428
451,ghambashidze,ღამბაშიძე,1426
452,kvatchadze,კვაჭაძე,1425
453,gorgodze,გორგოძე,1424
454,khalilovi,ხალილოვი,1421
455,kharatishvili,ხარატიშვილი,1421
456,zurabashvili,ზურაბაშვილი,1419
457,loladze,ლოლაძე,1419
458,abdulaevi,აბდულაევი,1417
459,kobiashvili,კობიაშვილი,1417
460,nasibovi,ნასიბოვი,1416
461,ugrekhelidze,უგრეხელიძე,1416
462,ibragimovi,იბრაგიმოვი,1413
463,darbaidze,დარბაიძე,1412
464,bibilashvili,ბიბილაშვილი,1408
465,chapidze,ჩაფიძე,1408
466,gharibashvili,ღარიბაშვილი,1402
467,kutchukhidze,კუჭუხიძე,1401
468,bezhanidze,ბეჟანიძე,1397
469,iobidze,იობიძე,1396
470,kurbanova,კურბანოვა,1395
471,katsadze,კაცაძე,1392
472,kharshiladze,ხარშილაძე,1391
473,shariqadze,შარიქაძე,1391
474,gogichashvili,გოგიჩაშვილი,1390
475,pataridze,პატარიძე,1389
476,kukhianidze,კუხიანიძე,1387
477,pantsulaia,ფანცულაია,1386
478,iusubovi,იუსუბოვი,1386
479,gureshidze,გურეშიძე,1384
480,tolordava,თოლორდავა,1384
481,arveladze,არველაძე,1382
482,gabelia,გაბელია,1380
483,suleimanova,სულეიმანოვა,1377
484,kirtadze,კირთაძე,1376
485,kupreishvili,კუპრეიშვილი,1375
486,gujabidze,გუჯაბიძე,1374
487,tsirekidze,ცირეკიძე,1371
488,guruli,გურული,1371
489,bigvava,ბიგვავა,1370
490,pkhaladze,ფხალაძე,1369
491,khalichava,ყალიჩავა,1367
492,sekhniashvili,სეხნიაშვილი,1367
493,qobuladze,ქობულაძე,1366
494,imnadze,იმნაძე,1366
495,gogidze,გოგიძე,1365
496,kholbaia,ყოლბაია,1365
497,gabaidze,გაბაიძე,1364
498,lomadze,ლომაძე,1363
499,gabedava,გაბედავა,1363
500,kazariani,კაზარიანი,1362
501,nikoleishvili,ნიკოლეიშვილი,1360
502,melqadze,მელქაძე,1360
503,khvichia,ხვიჩია,1356
504,jibladze,ჯიბლაძე,1354
505,surmava,სურმავა,1352
