rus,en,matched,matchedEngName
Епремашвили,epremashvili,ეფრემაშვილი,epremashvili
Диклаури,diklauri,წიკლაური,tsiklauri
Нарикошвили,narikoshvili,ნარიკაშვილი,narikashvili
Масисьян,masis'ian,მაისიან,maisian
Цаво,tsavo,ცავა,tsava
Тутисан,tutisan,თუთისანი,tutisani
Свимонашвили,svimonashvili,სვიმონიშვილი,svimonishvili
Гальперн,gal'pern,გალობერი,galoberi
Сапрашвили,saprashvili,სიფრაშვილი,siprashvili
Миллер,miller,მილლერ,miller
Аливка,alivka,ალიევა,alieva
Дивинский,divinskii,ლიპინსკი,lipinski
Мчитавишвили,mchitavishvili,მჩითავიშვილი,mchitavishvili
Прутцкий,pruttskii,პრუტსკოი,prutskoi
Чарчан,charchan,ჩარჩიან,charchian
Маргошин,margoshin,მარგოშია,margoshia
Димитриади,dimitriadi,დიმიტრიადი,dimitriadi
Голустов,golustov,გალუსტოვ,galustov
Харбуладзе,kharbuladze,ხორბალაძე,khorbaladze
Мочеварьян,mochevar'ian,კოჩარიან,kocharian
Хецупиани,khetsupiani,ხეცურიანი,khetsuriani
Авдоев,avdoev,ავდოევ,avdoev
Слепушкин,slepushkin,სემუშკინ,semushkin
Муджирошвилли,mudzhiroshvilli,მუჯირიშვილი,mujirishvili
Цибулько,tsibul'ko,ციბულკო,tsibulko
Братков,bratkov,ბრავკოვ,bravkov
Пичков,pichkov,პიჩკოვა,pichkova
Есипов,esipov,ოსიპოვ,osipov
Джахвеладзе,dzhakhveladze,დარახველიძე,darakhvelidze
Стадницкий,stadnitskii,სლავნიცკი,slavnitski
Рамошвили,ramoshvili,რამიშვილი,ramishvili
Маруян,maruian,მარუკიან,marukian
Манчхаишвили,manchkhaishvili,მანჩხაშვილი,manchkhashvili
Мазмиашвили,mazmiashvili,მაზმიაშვილი,mazmiashvili
Парахин,parakhin,პარახინა,parakhina
Хуцунашвили,khutsunashvili,ხუცუნაშვილი,khutsunashvili
Авдрисов,avdrisov,ავეტისოვ,avetisov
Океанов,okeanov,ოსმანოვ,osmanov
Надырошвили,nadiroshvili,ნადირაშვილი,nadirashvili
Шавашвили,shavashvili,შავიშვილი,shavishvili
Мирелошвили,mireloshvili,მირელაშვილი,mirelashvili
Беченов,bechenov,ბიჩენოვ,bichenov
Мочерашвили,mocherashvili,ქოჩერაშვილი,qocherashvili
Вайрадян,vairadian,ვაირადიან,vairadian
Суари,suari,სუარი,suari
Рассохин,rassokhin,რასსახან,rassakhan
Макареишвили,makareishvili,მახარეიშვილი,makhareishvili
Будалов,budalov,ბადალოვ,badalov
Мажурадзе,mazhuradze,მაისურაძე,maisuradze
Муховатин,mukhovatin,მუხოიანი,mukhoiani
Ментюхов,mentiukhov,მენდრიუხოვა,mendriukhova
Гутишвили,gutishvili,გულიშვილი,gulishvili
Наталиашвили,nataliashvili,ნათალიშვილი,natalishvili
Нанаджанов,nanadzhanov,აგადჟანოვ,agadzhanov
Губания,gubaniia,გუბანოვა,gubanova
Мкервали,mkervali,მკერვალი,mkervali
Саферов,saferov,საფაროვ,saparov
Ковсадзе,kovsadze,კავსაძე,kavsadze
Гуц,guts,კუც,kuts
Дарбайдзе,darbaidze,დარბაიძე,darbaidze
Черчикашвили,cherchikashvili,ხეჩიკაშვილი,khechikashvili
Лютый,liutii,ლიუტი,liuti
Сттельченко,sttel'chenko,სტრელჩენკო,strelchenko
Сикинчалошвили,sikinchaloshvili,სიკინჭალაშვილი,sikintchalashvili
Барашашвили,barashashvili,ბარაჩაშვილი,barachashvili
Михайличенко,mikhailichenko,მიხაილიჩენკო,mikhailichenko
Скропиридзе,skropiridze,ოქროპირიძე,oqropiridze
Халайджян,khalaidzhian,კალიდჟიან,kalidzhian
Гулдамашвили,guldamashvili,გულდამაშვილი,guldamashvili
Силагаво,silagavo,სილაგავა,silagava
Ванеишвили,vaneishvili,ვანეიშვილი,vaneishvili
Гуава,guava,გუგავა,gugava
Колойтадзе,koloitadze,კოლოტაძე,kolotadze
Тедеишвили,tedeishvili,თედეიშვილი,tedeishvili
Савельян,savel'ian,სამველიან,samvelian
Циклари,tsiklari,წიკლაური,tsiklauri
Савулиди,savulidi,სავულიდი,savulidi
Тетроашвили,tetroashvili,თეთრუაშვილი,tetruashvili
Межитов,mezhitov,მეჩიტოვი,mechitovi
Качканьян,kachkan'ian,კოჩკანიან,kochkanian
Куварацкели,kuvaratskeli,კვარაცხელია,kvaratskhelia
Агобобьян,agobob'ian,აგაბაბიან,agababian
Деметридзе,demetridze,დემეტრიძე,demetridze
Кагриманян,kagrimanian,კაგრამანიან,kagramanian
Лазуненко,lazunenko,ლაზუნენკო,lazunenko
Подшивалов,podshivalov,პოდშივალოვა,podshivalova
Стаматов,stamatov,სტამატოვ,stamatov
Корсов,korsov,კორსავა,korsava
Джагвеладзе,dzhagveladze,მჟავანაძე,mzhavanadze
Гогодешвили,gogodeshvili,გოგოლაშვილი,gogolashvili
Солоницин,solonitsin,სოლონიცინ,solonitsin
Такнеджян,taknedzhian,მარანდჟიან,marandzhian
Елзаров,elzarov,ელზაროვი,elzarovi
Курдазе,kurdaze,კურდაძე,kurdadze
Сулханешвили,sulkhaneshvili,სულხანიშვილი,sulkhanishvili
Авроян,avroian,აროიან,aroian
Мушкудян,mushkudian,მუშკუდიანი,mushkudiani
Мурджикиели,murdzhikieli,მურჯიკნელი,murjikneli
Кливидзе,klividze,ალავიძე,alavidze
Гагошвили,gagoshvili,გაგოშვილი,gagoshvili
Камиладзе,kamiladze,კამლაძე,kamladze
Мигрелашвили,migrelashvili,მეგრელაშვილი,megrelashvili
Винкель,vinkel',ვინკელ,vinkel
Тевдородзе,tevdorodze,თევდორაძე,tevdoradze
Слипченко,slipchenko,სლიპჩენკო,slipchenko
Чорухян,chorukhian,ჭორუხიან,tchorukhian
Аракенян,arakenian,არაკელიან,arakelian
Союнов,soiunov,სოინოვ,soinov
Грохульский,grokhul'skii,სოკულსკი,sokulski
Зосиев,zosiev,მოსიევ,mosiev
Архошашвили,arkhoshashvili,არხოშაშვილი,arkhoshashvili
Хинчава,khinchava,ხვიჩავა,khvichava
Элнозян,elnozian,ელოიან,eloian
Кобзеридзе,kobzeridze,კობერიძე,koberidze
Куркин,kurkin,კურკინა,kurkina
Мамадалиев,mamadaliev,მამადალიევა,mamadalieva
Мерзошвили,merzoshvili,მირზოშვილი,mirzoshvili
Пехов,pekhov,პეხოვა,pekhova
Погуашвили,poguashvili,თოგუაშვილი,toguashvili
Сурманян,surmanian,სურმალიან,surmalian
Школьников,shkol'nikov,შკოლნიკოვი,shkolnikovi
Джулактдзе,dzhulaktdze,ძნელაძე,dzneladze
Кикорья,kikor'ia,კიკორია,kikoria
Апритонидзе,apritonidze,აფრიდონიძე,apridonidze
Кочерян,kocherian,კოჩარიან,kocharian
Марунич,marunich,მარუნიჩ,marunich
Джчанднегава,dzhchandnegava,ძანძავა,dzandzava
Щамаев,schamaev,შამოევ,shamoev
Сеханашвили,sekhanashvili,სეხნიაშვილი,sekhniashvili
Масосян,masosian,მადოსიან,madosian
Шаламверидзе,shalamveridze,შალამბერიძე,shalamberidze
Буцкрекидзе,butskrekidze,ბუცხრეკიძე,butskhrekidze
Люлиашвили,liuliashvili,გულიაშვილი,guliashvili
Карамзин,karamzin,კარამზინი,karamzini
Хаджиоглы,khadzhiogli,ხამზიოღლი,khamzioghli
Патуров,paturov,ბათიროვ,batirov
Буджишвили,budzhishvili,ბუძიშვილი,budzishvili
Ватульян,vatul'ian,ვატულიან,vatulian
Джажая,dzhazhaia,ხაჟალია,khazhalia
Пилапец,pilapets,პილიპეც,pilipets
Ананович,ananovich,ანანოვი,ananovi
Камулярия,kamuliariia,კემულარია,kemularia
Шамши,shamshi,შამსი,shamsi
Мозелашвили,mozelashvili,მოგელაშვილი,mogelashvili
Хафава,khafava,ხაფავა,khapava
Харалидзе,kharalidze,ხარაიძე,kharaidze
Ватман,vatman,ვიტმან,vitman
Тордзеладзе,tordzeladze,ტურძელაძე,turdzeladze
Хунджгуруа,khundzhgurua,ხუნჯგურუა,khunjgurua
Тативосьян,tativos'ian,თათევოსიან,tatevosian
Афлат,aflat,ბოლათ,bolat
Кандауришвили,kandaurishvili,ქანდაურიშვილი,qandaurishvili
Кизлик,kizlik,კულიკ,kulik
Гиревяшвили,gireviashvili,გივიაშვილი,giviashvili
Курбаков,kurbakov,კურბანოვ,kurbanov
Дзвабава,dzvabava,ძვაბავა,dzvabava
Мухашаури,mukhashauri,მუხაშაურია,mukhashauria
Ракицкий,rakitskii,რაკიტსკაია,rakitskaia
Бандуков,bandukov,ბანდუკოვი,bandukovi
Мильчевский,mil'chevskii,მალჩევსკი,malchevski
Чеашвили,cheashvili,ჩიაშვილი,chiashvili
Хобленко,khoblenko,ხომენკო,khomenko
Дидук,diduk,დიდიკ,didik
Цариташвили,tsaritashvili,წარითაშვილი,tsaritashvili
Куликашвили,kulikashvili,გულიკაშვილი,gulikashvili
Шамраев,shamraev,შარაევი,sharaevi
Шарванидзе,sharvanidze,შარაბიძე,sharabidze
Товкущий,tovkuschii,ტოსკუჩევი,toskuchevi
