rus,en,matched
Халил,Halil,ხალილ
Исмаил-оглы,Ismail-ogli,ისმაილი
Риза,Riza,რიზა
Егиш,Egish,ეგიშ
Нури,Nuri,ნური
Эраст,Erast,ერასტი
Филимон,Filimon,ფილიმონ
Митро,Mitro,მიტრო
Геннадий,Gennadii,გენადი
Татевос,Tatevos,თათევოს
Марк,Mark,მარკ
Евген,Evgen,ევგენ
Манук,Manuk,მანუკ
Важа,Vazha,ვაჟა
Авксентий,Avksentii,ავქსენტი
Иосип,Iosip,იოსიფ
Ананий,Ananii,ანანი
Вардо,Vardo,ვარდო
Сумбат,Sumbat,სუმბატ
Тите,Tite,ტიტე
Теренти,Terenti,ტერენტი
Амеран,Ameran,ამერან
Грамитон,Gramiton,გრამიტონ
Демьян,Demyan,დემიან
Мнацакан,Mnacakan,მნაცაკან
Диомид,Diomid,დიომიდე
Казар,Kazar,კაზარ
Порфирий,Porfirii,პორფირი
Аветик,Avetik,ავეტიკ
Макари,Makari,მაკარი
Прокопий,Prokopii,პროკოფი
Радион,Radion,რადიონ
Мате,Mate,მათე
Романоз,Romanoz,რომანოზ
Мемед,Memed,მემედ
Агасин,Agasin,აგასინ
Иосеб,Ioseb,იოსებ
Маркоз,Markoz,მარკოზ
Иосеф,Iosef,იოსებ
Эдуард,Eduard,ედუარდ
Доме,Dome,კოტე
Залико,Zaliko,ზალიკო
Мамуд,Mamud,მამუდ
Аргил,Argil,აგილ
Рафиел,Rafiel,რაფიელ
Бикенти,Bikenti,ბიკენტი
Ахмед-оглы,Ahmed-ogli,ახმედალი
Азат,Azat,აზატ
Беня,Benya,ბენია
Виталий,Vitalii,ვიტალი
Ростом,Rostom,როსტომ
Граф,Graf,გრაფ
Гогиа,Gogia,გოგია
Альберт,Albert,ალბერტ
Сережа,Serezha,სერეჟა
Назар,Nazar,ნაზარ
Вали,Vali,ვალი
Кириле,Kirile,კირილე
Нове,Nove,ნოვე
Рамиз,Ramiz,რამიზ
Баграти,Bagrati,ბაგრატი
Караман,Karaman,ყარამან
Мухтар,Muhtar,მუხტარ
Григор.,Grigor.,გრიგორი
Прокоп,Prokop,პროკოფ
Пантелеймон,Panteleimon,პანტელეიმონ
Амрос,Amros,ამროსი
Бессарион,Bessarion,ბესარიონ
Сидор,Sidor,სიდო
Иосеп,Iosep,იოსებ
Геурк,Geurk,გეურქ
Тенгиз,Tengiz,თენგიზ
Абдула,Abdula,აბდულა
Стефан,Stefan,სტეფან
Арто,Arto,არტო
Аршалуйс,Arshaluis,არშალუის
Джемал,Dzhemal,ჯემალ
Гедеон,Gedeon,გედეონ
Коция,Kociya,კოლია
Аппалон,Appalon,აპალონ
Тато,Tato,ტატო
Мамантий,Mamantii,მამანტი
Костя,Kostya,კოსტა
Барнаб,Barnab,ბარნაბ
Никалай,Nikalai,ნიკალაი
Рафик,Rafik,რაფიკ
Шало,SHalo,შამო
Даниел,Daniel,დანიელ
Шура,SHura,შურა
Зосим,Zosim,ზოსიმე
Малакия,Malakiya,მალაქია
Аик,Aik,აიკ
Евтихий,Evtihii,ევტიხი
Кара,Kara,კარა
Вачаган,Vachagan,ვაჩაგან
К.,K.,ეკა
Ягор,YAgor,იაგორ
Курбан-оглы,Kurban-ogli,კურბანალი
Бухути,Buhuti,ბუხუტი
Теймураз,Teimuraz,თეიმურაზ
Байрам-оглы,Bairam-ogli,ბაირამალი
Теофан,Teofan,თეონა
Гегам,Gegam,გეგამ
Элизбар,Elizbar,ელიზბარ
Биктор,Biktor,ბიქტორ
Костантин,Kostantin,კოსტანტინ
Естате,Estate,ესტატე
Луарсаб,Luarsab,ლუარსაბ
Бондо,Bondo,ბონდო
Сарибек,Saribek,სარიბეკ
Сардо,Sardo,სარდო
Гио,Gio,გიო
Пидо,Pido,ფიდო
Севасти,Sevasti,სევასტი
Шолва,SHolva,შალვა
Аванес,Avanes,ოვანეს
Володия,Volodiya,ვოლოდია
Саул,Saul,საულ
Саломон,Salomon,სოლომონ
Шаварш,SHavarsh,შავარშ
Генади,Genadi,გენადი
Естат,Estat,ესტატე
Климент,Kliment,კლიმენტ
Михак,Mihak,მისაკ
Н.,N.,ანი
Вагинак,Vaginak,ვაგინაკ
Меки,Meki,მეგი
Велико,Veliko,ველიკო
Мушег,Musheg,მუშეგ
Людвиг,Lyudvig,ლუდვიგ
Айказ,Aikaz,აიკაზ
Леванти,Levanti,ლევანტი
Савва,Savva,სავვა
Колистрат,Kolistrat,კალისტრატე
Карпо,Karpo,კარპო
Мурат,Murat,მურათ
Викентий,Vikentii,ვიკენტი
Аргиль,Argil,აგილ
Христафор,Hristafor,ხრისტაფორ
Артавазд,Artavazd,არტავაზდ
Автондил,Avtondil,ავთანდილ
Агабо,Agabo,აგაბო
Бограт,Bograt,ბაგრატ
Варт,Vart,ვარტ
Васико,Vasiko,ვასიკო
Камал,Kamal,კამალ
Асатур,Asatur,ასატურ
Сограти,Sograti,სოგრატი
Цолак,Colak,ლოლა
Дяноз,Dyanoz,დიანოზ
Хаим,Haim,ჰაიკ
Теодор,Teodor,თეოდორ
Абас,Abas,აბას
Олег,Oleg,ოლეგ
Симен,Simen,სიმონ
Поре,Pore,ფორე
Юсуф,YUsuf,უსუპ
Мартын,Martin,მარტინ
Сослан,Soslan,სოსლან
Евсей,Evsei,ევსევი
Беса,Besa,ბექა
Вас.,Vas.,ვასო
Елиоз,Elioz,ელიოზ
Абели,Abeli,აბელი
Шакир,SHakir,შაკირ
Мацак,Macak,მალაკ
Солка,Solka,სონია
Юнус,YUnus,იუნუს
Исаки,Isaki,ისაკი
Гугуни,Guguni,გუგული
Кито,Kito,კატო
Ермиле,Ermile,ერმილე
Алексан,Aleksan,ალეკსან
Миран,Miran,მირან
Вардан,Vardan,ვარდან
Лонгиноз,Longinoz,ლონგინოზ
Сино,Sino,სინო
Шато,SHato,შატო
Карим,Karim,კარიმ
Мелентий,Melentii,მელენტი
Аполлон,Apollon,აპოლონ
Лева,Leva,ლევა
Коки,Koki,კოკი
Гогла,Gogla,გოგლა
Жоржик,ZHorzhik,ჟორჟიკ
Гасан-оглы,Gasan-ogli,გასანალი
Султан,Sultan,სულტან
Рачик,Rachik,რაჩიკ
Ш.,SH.,შიო
Илия,Iliya,ილია
Шабан,SHaban,შაბან
Михако,Mihako,მიხაკო
Нос,Nos,ნოე
Иполите,Ipolite,იპოლიტე
Айрапет,Airapet,აირაპეტ
Олифант,Olifant,ოლიფანტე
Казим,Kazim,კაზიმ
Ильяс,Ilyas,ილიას
Оник,Onik,ონიკ
Клементий,Klementii,კლემენტი
Вячеслав,Vyacheslav,ვიაჩესლავ
Елисей,Elisei,ელისეი
Тедор,Tedor,თედორე
Рустам,Rustam,რუსტამ
Жоржика,ZHorzhika,ჟორჟიკა
Леонти,Leonti,ლეონტი
Вазген,Vazgen,ვაზგენ
Сероп,Serop,სეროპ
Асан,Asan,ასან
Садул,Sadul,სადული
Мартин,Martin,მარტინ
Бугдан,Bugdan,ბოგდან
Тедоре,Tedore,თედორე
Мигран,Migran,მიგრან
Апет,Apet,აპეტ
Муса-оглы,Musa-ogli,მანოლი
Бахшо,Bahsho,ბახშო
Саверьян,Saveryan,სევერიან
Абесало,Abesalo,აბესალო
Арутик,Arutik,არუთიკ
Абдулла,Abdulla,აბდულლა
Мелко,Melko,მელიკო
Авели,Aveli,აველი
Оганез,Oganez,ოგანეზ
Ермил,Ermil,ემილ
Калистрате,Kalistrate,კალისტრატე
Бинали,Binali,ბინალი
Арташес,Artashes,არტაშეს
Анушаван,Anushavan,ანუშავან
Абибо,Abibo,აბიბო
Алико,Aliko,ალიკო
Клименти,Klimenti,კლიმენტი
Маркос,Markos,მარკოს
Азиз,Aziz,აზიზ
Висарион,Visarion,ვისარიონ
Ила,Ila,ილია
Махмед,Mahmed,მამედ
Иасон,Iason,იასონ
Варлами,Varlami,ვარლამი
Анвар,Anvar,ანვარ
Наби-оглы,Nabi-ogli,ნაილი
Мосес,Moses,მოსეს
Ширин,SHirin,შირინ
Северион,Severion,სევერიონ
Нияз,Niyaz,ნიაზ
Ибрагим-оглы,Ibragim-ogli,იბრაგიმხალილ
Гамид,Gamid,გამიდ
Север,Sever,სევერ
Сосико,Sosiko,სოსიკო
Турман,Turman,თურმან
Аганес,Aganes,ოგანეს
Артаваз,Artavaz,ართავაზ
Матевос,Matevos,მათევოს
Аврам,Avram,ავრამ
Саламон,Salamon,სოლომონ
Денис,Denis,დენის
Деомид,Deomid,ლეონიდ
Ерасто,Erasto,ერასტო
Левантий,Levantii,ლევანტი
Иссак,Issak,ისაკ
Анастас,Anastas,ანასტას
Кукури,Kukuri,კუკური
Арминак,Arminak,არმინაკ
Бабкен,Babken,ბაბკენ
Керим,Kerim,კერიმ
Федот,Fedot,თედო
Азис,Azis,აზიზ
